Datecadangan,Close,warna,ML,symbol
2008-06-18,2666.929931640625,red,LR,ANTM
2008-06-19,2645.929931640625,red,LR,ANTM
2008-06-20,2624.929931640625,red,LR,ANTM
2008-06-23,2666.929931640625,red,LR,ANTM
2008-06-24,2729.919921875,red,LR,ANTM
2008-06-25,2687.929931640625,red,LR,ANTM
2008-06-26,2708.929931640625,red,LR,ANTM
2008-06-27,2708.929931640625,red,LR,ANTM
2008-06-30,2666.929931640625,red,LR,ANTM
2008-07-01,2687.929931640625,red,LR,ANTM
2008-07-02,2708.929931640625,red,LR,ANTM
2008-07-03,2603.929931640625,red,LR,ANTM
2008-07-04,2603.929931640625,red,LR,ANTM
2008-07-07,2561.929931640625,red,LR,ANTM
2008-07-08,2498.929931640625,red,LR,ANTM
2008-07-09,2456.929931640625,red,LR,ANTM
2008-07-10,2540.929931640625,red,LR,ANTM
2008-07-11,2519.929931640625,red,LR,ANTM
2008-07-14,2540.929931640625,red,LR,ANTM
2008-07-15,2456.929931640625,red,LR,ANTM
2008-07-16,2456.929931640625,red,LR,ANTM
2008-07-17,2330.93994140625,red,LR,ANTM
2008-07-18,2057.93994140625,red,LR,ANTM
2008-07-21,2099.93994140625,red,LR,ANTM
2008-07-22,2078.93994140625,red,LR,ANTM
2008-07-23,1994.949951171875,red,LR,ANTM
2008-07-24,2099.93994140625,red,LR,ANTM
2008-07-25,2057.93994140625,red,LR,ANTM
2008-07-28,2078.93994140625,red,LR,ANTM
2008-07-29,2057.93994140625,red,LR,ANTM
2008-07-31,2078.93994140625,red,LR,ANTM
2008-08-01,2057.93994140625,red,LR,ANTM
2008-08-04,1952.949951171875,red,LR,ANTM
2008-08-05,1826.949951171875,red,LR,ANTM
2008-08-06,1784.949951171875,red,LR,ANTM
2008-08-07,1805.949951171875,red,LR,ANTM
2008-08-08,1763.949951171875,red,LR,ANTM
2008-08-11,1658.949951171875,red,LR,ANTM
2008-08-12,1537.1600341796875,red,LR,ANTM
2008-08-13,1553.9599609375,red,LR,ANTM
2008-08-14,1604.3599853515625,red,LR,ANTM
2008-08-15,1579.1600341796875,red,LR,ANTM
2008-08-19,1511.9599609375,red,LR,ANTM
2008-08-20,1537.1600341796875,red,LR,ANTM
2008-08-21,1545.56005859375,red,LR,ANTM
2008-08-22,1612.760009765625,red,LR,ANTM
2008-08-25,1612.760009765625,red,LR,ANTM
2008-08-26,1587.56005859375,red,LR,ANTM
2008-08-27,1595.9599609375,red,LR,ANTM
2008-08-28,1579.1600341796875,red,LR,ANTM
2008-08-29,1587.56005859375,red,LR,ANTM
2008-09-01,1562.3599853515625,red,LR,ANTM
2008-09-02,1511.9599609375,red,LR,ANTM
2008-09-03,1427.9599609375,red,LR,ANTM
2008-09-04,1352.3599853515625,red,LR,ANTM
2008-09-05,1251.5699462890625,red,LR,ANTM
2008-09-08,1259.969970703125,red,LR,ANTM
2008-09-09,1133.969970703125,red,LR,ANTM
2008-09-10,1058.3699951171877,red,LR,ANTM
2008-09-11,1066.77001953125,red,LR,ANTM
2008-09-12,1007.969970703125,red,LR,ANTM
2008-09-15,856.7760009765625,red,LR,ANTM
2008-09-16,881.9760131835938,red,LR,ANTM
2008-09-17,1033.1700439453123,red,LR,ANTM
2008-09-18,1226.3699951171875,red,LR,ANTM
2008-09-19,1301.9599609375,red,LR,ANTM
2008-09-22,1268.3599853515625,red,LR,ANTM
2008-09-23,1301.9599609375,red,LR,ANTM
2008-09-24,1301.9599609375,red,LR,ANTM
2008-09-25,1234.77001953125,red,LR,ANTM
2008-09-26,1226.3699951171875,red,LR,ANTM
2008-10-06,890.375,red,LR,ANTM
2008-10-07,974.3729858398438,red,LR,ANTM
2008-10-08,881.9760131835938,red,LR,ANTM
2008-10-13,965.9730224609376,red,LR,ANTM
2008-10-14,1058.3699951171877,red,LR,ANTM
2008-10-15,1091.969970703125,red,LR,ANTM
2008-10-16,1058.3699951171877,red,LR,ANTM
2008-10-17,974.3729858398438,red,LR,ANTM
2008-10-20,1041.5699462890623,red,LR,ANTM
2008-10-21,974.3729858398438,red,LR,ANTM
2008-10-22,923.9749755859376,red,LR,ANTM
2008-10-23,873.5759887695312,red,LR,ANTM
2008-10-24,789.5780029296875,red,LR,ANTM
2008-10-27,713.97998046875,red,LR,ANTM
2008-10-28,772.7789916992188,red,LR,ANTM
2008-10-29,772.7789916992188,red,LR,ANTM
2008-10-30,848.3770141601562,red,LR,ANTM
2008-10-31,873.5759887695312,red,LR,ANTM
2008-11-03,991.1729736328124,red,LR,ANTM
2008-11-04,949.1740112304688,red,LR,ANTM
2008-11-05,907.1749877929688,red,LR,ANTM
2008-11-06,839.9769897460938,red,LR,ANTM
2008-11-07,949.1740112304688,red,LR,ANTM
2008-11-10,940.7739868164062,red,LR,ANTM
2008-11-11,923.9749755859376,red,LR,ANTM
2008-11-12,932.3740234375,red,LR,ANTM
2008-11-13,865.176025390625,red,LR,ANTM
2008-11-14,881.9760131835938,red,LR,ANTM
2008-11-17,831.5770263671875,red,LR,ANTM
2008-11-18,781.177978515625,red,LR,ANTM
2008-11-19,789.5780029296875,red,LR,ANTM
2008-11-20,755.97900390625,red,LR,ANTM
2008-11-21,856.7760009765625,red,LR,ANTM
2008-11-24,806.3779907226562,red,LR,ANTM
2008-11-25,831.5770263671875,red,LR,ANTM
2008-11-26,839.9769897460938,red,LR,ANTM
2008-11-27,831.5770263671875,red,LR,ANTM
2008-11-28,856.7760009765625,red,LR,ANTM
2008-12-01,831.5770263671875,red,LR,ANTM
2008-12-02,806.3779907226562,red,LR,ANTM
2008-12-03,823.177001953125,red,LR,ANTM
2008-12-04,831.5770263671875,red,LR,ANTM
2008-12-05,806.3779907226562,red,LR,ANTM
2008-12-09,831.5770263671875,red,LR,ANTM
2008-12-10,915.5750122070312,red,LR,ANTM
2008-12-11,890.375,red,LR,ANTM
2008-12-12,839.9769897460938,red,LR,ANTM
2008-12-15,1007.969970703125,red,LR,ANTM
2008-12-16,957.573974609375,red,LR,ANTM
2008-12-17,965.9730224609376,red,LR,ANTM
2008-12-18,974.3729858398438,red,LR,ANTM
2008-12-19,932.3740234375,red,LR,ANTM
2008-12-22,898.7750244140625,red,LR,ANTM
2008-12-23,923.9749755859376,red,LR,ANTM
2008-12-24,907.1749877929688,red,LR,ANTM
2008-12-30,915.5750122070312,red,LR,ANTM
2009-01-05,1033.1700439453123,red,LR,ANTM
2009-01-06,991.1729736328124,red,LR,ANTM
2009-01-07,1033.1700439453123,red,LR,ANTM
