Datecadangan,Close,warna
2005-12-20,4275.0,red
2005-12-21,4250.0,red
2005-12-22,4275.0,red
2005-12-23,4250.0,red
2005-12-27,4200.0,red
2005-12-28,4250.0,red
2005-12-29,4275.0,red
2006-01-02,4300.0,red
2006-01-03,4325.0,red
2006-01-04,4375.0,red
2006-01-05,4350.0,red
2006-01-06,4400.0,red
2006-01-09,4425.0,red
2006-01-11,4425.0,red
2006-01-12,4375.0,red
2006-01-13,4400.0,red
2006-01-16,4375.0,red
2006-01-17,4275.0,red
2006-01-18,4225.0,red
2006-01-19,4300.0,red
2006-01-20,4275.0,red
2006-01-23,4300.0,red
2006-01-24,4400.0,red
2006-01-25,4400.0,red
2006-01-26,4375.0,red
2006-01-27,4350.0,red
2006-01-30,4300.0,red
2006-02-01,4300.0,red
2006-02-02,4325.0,red
2006-02-03,4300.0,red
2006-02-06,4300.0,red
2006-02-07,4350.0,red
2006-02-08,4350.0,red
2006-02-09,4400.0,red
2006-02-10,4350.0,red
2006-02-13,4350.0,red
2006-02-14,4325.0,red
2006-02-15,4325.0,red
2006-02-16,4325.0,red
2006-02-17,4375.0,red
2006-02-20,4325.0,red
2006-02-21,4300.0,red
2006-02-22,4275.0,red
2006-02-23,4300.0,red
2006-02-24,4175.0,red
2006-02-27,4275.0,red
2006-02-28,4275.0,red
2006-03-01,4300.0,red
2006-03-02,4300.0,red
2006-03-03,4300.0,red
2006-03-06,4300.0,red
2006-03-07,4225.0,red
2006-03-08,4200.0,red
2006-03-09,4300.0,red
2006-03-10,4250.0,red
2006-03-13,4225.0,red
2006-03-14,4275.0,red
2006-03-15,4300.0,red
2006-03-16,4300.0,red
2006-03-17,4300.0,red
2006-03-20,4275.0,red
2006-03-21,4300.0,red
2006-03-22,4300.0,red
2006-03-23,4300.0,red
2006-03-24,4250.0,red
2006-03-27,4275.0,red
2006-03-28,4275.0,red
2006-03-29,4250.0,red
2006-04-03,4200.0,red
2006-04-04,4225.0,red
2006-04-05,4200.0,red
2006-04-06,4275.0,red
2006-04-07,4325.0,red
2006-04-11,4250.0,red
2006-04-12,4325.0,red
2006-04-13,4275.0,red
2006-04-17,4250.0,red
2006-04-18,4350.0,red
2006-04-19,4350.0,red
2006-04-20,4350.0,red
2006-04-21,4250.0,red
2006-04-24,4250.0,red
2006-04-25,4250.0,red
2006-04-26,4300.0,red
2006-04-27,4300.0,red
2006-04-28,4575.0,red
2006-05-01,4700.0,red
2006-05-02,4700.0,red
2006-05-03,5000.0,red
2006-05-04,4800.0,red
2006-05-05,5000.0,red
2006-05-08,4800.0,red
