Datecadangan,Predictions,warna
2011-07-29,9117.1674078356,blue
2011-08-01,9123.779483053368,blue
2011-08-02,9125.983508126112,blue
2011-08-03,9128.187533198623,blue
2011-08-04,9130.391558271367,blue
2011-08-05,9132.595583344111,blue
2011-08-08,9139.207658561878,blue
2011-08-09,9141.411683634622,blue
2011-08-10,9143.615708707133,blue
2011-08-11,9145.819733779877,blue
2011-08-12,9148.023758852389,blue
2011-08-15,9154.635834070388,blue
2011-08-16,9156.8398591429,blue
2011-08-18,9161.247909288155,blue
2011-08-19,9163.451934360899,blue
2011-08-22,9170.064009578899,blue
2011-08-23,9172.26803465141,blue
2011-08-24,9174.472059724154,blue
2011-08-25,9176.676084796665,blue
2011-08-26,9178.88010986941,blue
2011-09-05,9200.920360595686,blue
2011-09-06,9203.12438566843,blue
2011-09-07,9205.328410740942,blue
2011-09-08,9207.532435813686,blue
2011-09-09,9209.736460886197,blue
2011-09-12,9216.348536104197,blue
2011-09-13,9218.552561176708,blue
2011-09-14,9220.756586249452,blue
2011-09-15,9222.960611321963,blue
2011-09-16,9225.164636394707,blue
2011-09-19,9231.776711612474,blue
2011-09-20,9233.980736685218,blue
2011-09-21,9236.18476175773,blue
2011-09-22,9238.388786830474,blue
2011-09-23,9240.592811903218,blue
2011-09-26,9247.204887120984,blue
2011-09-27,9249.408912193729,blue
2011-09-28,9251.61293726624,blue
2011-09-29,9253.816962338984,blue
2011-09-30,9256.020987411495,blue
2011-10-03,9262.633062629495,blue
2011-10-04,9264.837087702006,blue
2011-10-05,9267.04111277475,blue
2011-10-06,9269.245137847262,blue
2011-10-07,9271.449162920006,blue
2011-10-10,9278.061238138005,blue
2011-10-11,9280.265263210516,blue
2011-10-12,9282.46928828326,blue
2011-10-13,9284.673313355772,blue
2011-10-14,9286.877338428516,blue
2011-10-17,9293.489413646283,blue
2011-10-18,9295.693438719027,blue
2011-10-19,9297.897463791538,blue
2011-10-20,9300.101488864282,blue
2011-10-21,9302.305513936793,blue
2011-10-24,9308.917589154793,blue
2011-10-25,9311.121614227537,blue
2011-10-26,9313.325639300048,blue
2011-10-27,9315.529664372792,blue
2011-10-28,9317.733689445304,blue
2011-10-31,9324.345764663303,blue
2011-11-01,9326.549789735815,blue
2011-11-02,9328.753814808559,blue
2011-11-03,9330.95783988107,blue
2011-11-04,9333.161864953814,blue
2011-11-07,9339.77394017158,blue
2011-11-08,9341.977965244325,blue
2011-11-09,9344.181990316836,blue
2011-11-10,9346.38601538958,blue
2011-11-11,9348.590040462324,blue
2011-11-14,9355.202115680091,blue
2011-11-15,9357.406140752835,blue
2011-11-16,9359.610165825346,blue
2011-11-17,9361.81419089809,blue
2011-11-18,9364.018215970602,blue
2011-11-21,9370.630291188601,blue
2011-11-22,9372.834316261113,blue
2011-11-23,9375.038341333857,blue
2011-11-24,9377.242366406368,blue
2011-11-25,9379.446391479112,blue
2011-11-28,9386.058466697112,blue
2011-11-29,9388.262491769623,blue
2011-11-30,9390.466516842367,blue
2011-12-01,9392.670541914878,blue
2011-12-02,9394.874566987623,blue
2011-12-05,9401.48664220539,blue
2011-12-06,9403.690667278133,blue
2011-12-07,9405.894692350645,blue
2011-12-08,9408.098717423389,blue
2011-12-09,9410.3027424959,blue
2011-12-12,9416.9148177139,blue
2011-12-13,9419.118842786644,blue
2011-12-14,9421.322867859155,blue
2011-12-15,9423.526892931899,blue
2011-12-16,9425.73091800441,blue
2011-12-19,9432.34299322241,blue
2011-12-20,9434.547018294921,blue
2011-12-21,9436.751043367665,blue
2011-12-22,9438.955068440177,blue
2011-12-23,9441.15909351292,blue
2011-12-27,9449.975193803431,blue
2011-12-28,9452.179218875943,blue
2011-12-29,9454.383243948687,blue
2011-12-30,9456.587269021431,blue
2012-01-02,9463.199344239198,blue
2012-01-03,9465.403369311942,blue
2012-01-04,9467.607394384453,blue
2012-01-05,9469.811419457197,blue
2012-01-06,9472.015444529708,blue
2012-01-09,9478.627519747708,blue
2012-01-10,9480.83154482022,blue
2012-01-11,9483.035569892963,blue
2012-01-12,9485.239594965475,blue
2012-01-13,9487.443620038219,blue
2012-01-16,9494.055695256218,blue
2012-01-17,9496.25972032873,blue
2012-01-18,9498.463745401474,blue
